ticker,security,rec,,yahoo diagram,outlook,rating,use,trust,upward_trend,outlook_date,sector,industry,webscrape_date,net_income,ft_employee,div_yield,one_year,three_year,five_year,ten_year,fifteen_year,avg,rd,peg,profit_margin,roa,roe
BMY,Bristol-Myers Squibb,,,,53,,1,0,,8/4/18,Healthcare,Drug Manufacturers - Major,12/27/20,,,2.88,-0.33,2.78,0.09,11.23,8.89,,,0.8,-0.11,-0.05,-0.13
BNGO,Bionano Genomics,,,,,,,,,,,,12/29/20,,,,-18.13,—,—,—,—,,,0,,,
BOSCHLTD.NS,Bosch,,,,66,,1,0,no,8/4/18,Consumer Cyclical,Auto Parts,,,,,,,,,,,,,,,
BPL,Buckeye Partners L.P.,,,,49,,1,0,,8/4/18,Energy,Oil & Gas Midstream,,,,,,,,,,,,,,,
BPMC,Blueprint Medicines Corporation,,,,,,,,no,,Healthcare,Biotechnology,12/29/20,333,,,50.67,16.57,38.45,—,—,,338,0,41.08,29.02,36.29
BPTH,Bio-Path,,,,,,,,,,,,1/1/21,-11,nan,—,-56.2,-55.79,-57.42,-25.93,—,,6,0,nan,nan,nan
BRK.A,Berkshire Hathaway,,,,44,3.1,1,0,yes,9/8/19,Financial Services,Insurance - Diversified,1/1/21,35845,nan,—,2.42,5.33,11.95,11.19,9.54,,—,0,12.84,4.43,8.82
BRK.B,Berkshire Hathaway,,,,44,3.1,1,0,yes,9/8/19,Financial Services,Insurance - Diversified,12/29/20,,,,1,4.6,11.4,11.06,9.48,,,0,12.84,4.43,8.82
BSET,Bassett Furniture Industries,,,,37,,1,0,,8/4/18,Consumer Cyclical,Home Furnishings & Fixtures,12/27/20,,,3.69,22.71,-17.79,-0.53,20.47,3.52,,,0.9,-5.8,-6.6,-13.1
BSIG,BrightSphere Investment Group,,,,,,,,,,,,12/27/20,,,1.24,89.59,5.78,6.12,—,—,,,0,20.95,10.98,223.25
BSX,Boston Scientific,,,,75,,1,0,,8/4/18,Healthcare,Medical Devices,12/29/20,3704,,,-22.78,11.5,13.27,16.14,2.31,,1165,2.7,36.46,12.79,29.17
BTU,Peabody Energy,,,,,,,,,,Basic Materials,Coal,12/27/20,,,10.74,-81.22,-50.67,—,—,—,,,0,-62.27,-34.86,-101.79
BUD,Anheuser-Busch,,,,54,,0,0,no,8/4/18,Consumer Defensive,Beverages - Brewers,12/27/20,,,2.18,-12.86,-11.85,-7.65,5.46,—,,,7.2,2.54,0.53,1.87
BURBY,Burberry,,,,,,,,,,,,12/27/20,,,0.64,-18.74,2.1,7.59,4.66,—,,,1.2,0.93,0.61,1.63
BL,Blackline,,,,71,4,,,,,,,1/1/21,-39,nan,—,158.69,59.61,—,—,—,,49,10.3,-11.63,-3.87,-9.62
BWA,BorgWarner,,,,65,,1,0,,8/4/18,Consumer Cyclical,Auto Parts,12/27/20,,,1.75,-9.66,-7.44,-0.65,1.73,7.45,,,1.1,4.11,3.43,7.86
BX,Blackstone Group,,,,69,,1,0,no,8/4/18,Financial Services,Asset Management,12/27/20,,,3.21,20.76,29.56,19.65,18.96,—,,,0,17.86,2.72,12.09
BXP,Boston Properties,,,,63,,1,0,,8/4/18,Real Estate,REIT - Office,12/27/20,,,3.99,-28.02,-6.23,-2.81,4.34,4.95,,,0,34.79,4.49,17.44
CNI,Canadian National Railway,,,,57,,1,0,,8/4/18,Industrials,Railroads,12/27/20,,,1.56,23.21,11.89,15.5,13.86,12.87,,,0,24.83,7.65,18.06
BZUN,Baozun Inc.,,,,,,,,,,Consumer Cyclical,Specialty Retail,1/1/21,302,nan,—,3.71,2.86,33.14,—,—,,—,0,3.8,4.6,11.89
C,Citigroup,,,,53,3.5,0,0,no,9/8/19,Financial Services,Banks - Global,12/27/20,,,3.7,-20.33,-4.35,5.06,3.77,-8.97,,,0,14.23,0.51,6.14
CCK,Crown Holdings,,,,57,,1,0,,8/4/18,Consumer Cyclical,Packaging & Containers,1/1/21,515,nan,—,38.13,21.22,14.6,11.62,11.52,,—,6.7,4.52,3.33,29.2
CACC,Credit Acceptance,,,,64,3.8,1,0,yes,9/8/19,Financial Services,Credit Services,1/1/21,417,nan,—,-21.75,2.28,10.09,18.62,22.7,,—,0,25.91,5.75,17.76
CAE,CAE Inc.,,,,55,,1,0,,8/4/18,Industrials,Aerospace & Defense,12/27/20,60,,0.66,2,14.36,20.25,9.91,9.74,,116,0,1.91,0.82,2.66
CAG,ConAgra Foods,,,,31,,,1,,8/4/18,Consumer Defensive,Packaged Foods,12/27/20,,,2.5,9.52,0.79,5.23,10.22,7.84,,,3.1,8.77,4.45,12.79
CAH,Cardinal Health,,,,52,,1,0,,8/4/18,Healthcare,Medical Distribution,12/27/20,,,3.54,8.66,-1.61,-6.82,5.83,1.03,,,3.9,0.63,2.41,83.81
CAKE,Cheesecake Factory,,,,60,,0,0,,8/4/18,Consumer Cyclical,Restaurants,12/27/20,,,1.92,-3.79,-6.68,-1.94,3.58,1.03,,,5.1,-9,-7.34,-44.65
CAMP,CalAmp Corp.,,,,,,,,,,Technology,Communication Equipment,12/29/20,,,,6.52,-22.26,-13.54,12.31,-0.07,,,1.8,-30.51,-20.59,-71.32
CAR,Avis Budget Group,,,,38,,,0,,8/4/18,Industrials,Rental & Leasing Services,12/29/20,,,,12.84,-6.35,0.24,9.34,-0.23,,,0,-7.28,-2.12,-215.75
CASY,Casey's General Stores,,,,,,,,,,Consumer Defensive,Grocery Stores,12/27/20,,,0.7,12.94,17.75,8.64,15.83,14.5,,,1.4,4.49,8.03,19.21
CAT,Caterpillar,,,,41,,,0,,8/4/18,Industrials,Farm & Construction Equipment,12/27/20,3316,,2.37,24.55,6.99,23.2,8.24,9.09,,1427,8.8,7.6,4.29,22.18
CATO,Cato Corp,,,,,,,,,,,,12/27/20,,,8.19,-51.53,-11.23,-18.2,-3.09,0.52,,,0,-6.65,-6.54,-13.81
TMO,Thermo Fisher Scientific,,,,57,,1,0,,8/4/18,Healthcare,Diagnostics & Research,12/28/20,4879,,0.18,40.57,34.22,26.71,23.6,19.89,,1067,1.6,17.12,8.08,15.95
CB,Chubb Limited,,,,48,,1,0,yes,8/4/18,Financial Services,Insurance - Property & Casualty,12/27/20,,,2.07,-0.01,3.4,7.03,10.99,8.46,,,1.5,6.56,1.26,4.12
CBRE,CBRE Group,,,,64,3.6,,,,9/8/19,Real Estate,Real Estate Services,12/29/20,,,,3.31,12.73,12.64,11.77,8.01,,,3.1,4.48,6.86,17.83
CBRL,Cracker Barrel Old Country Store,,,,50,,0,0,,8/4/18,Consumer Cyclical,Restaurants,12/27/20,,,2.79,-12.4,-2.13,6.28,12.64,11.9,,,0,3.92,3.76,15.86
CC,Chemours,,,,,,,,,,Basic Materials,Specialty Chemicals,12/27/20,,,4.11,51.74,-15.33,39.2,—,—,,,0,-2.35,-1.62,-14.91
TEAM,Atlassian Corporation,,,,,,,,yes,,,,1/1/21,-442,nan,—,94.34,72.55,50.71,—,—,,820,9.3,-25.82,-12.07,-63.87
CCJ,Cameo Corp,,,,,,,,,,,,12/27/20,,,0.61,53.4,13.55,2.82,-8.54,-3.83,,,0,-0.22,-0.06,-0.09
DHR,Danaher,,,,57,,1,0,,8/4/18,Healthcare,Diagnostics & Research,12/27/20,3681,,0.32,45.02,33.76,21.43,18.06,15.7,,1246,2.1,17.82,5.41,11.08
CCL,Carnival Corp.,,,,60,,0,0,maybe,8/4/18,Consumer Cyclical,Leisure,12/27/20,,,5.01,-58.11,-27.49,-12.2,-3.09,-2.26,,,0,-73.4,-16.01,-33.89
CDK,CDK Global Inc,,,,,,,,,,,,12/27/20,,,1.25,-5.29,-9.39,2.41,—,—,,,0,,,
CDW,CDW,,,,74,3.9,,,,9/8/19,Technology,Information Technology Services,12/27/20,,,1.18,-8.53,24.32,25.57,—,—,,,0,4.08,8.69,67.7
CE,Celanese,,,,,,,,,,Basic Materials,Chemicals,12/27/20,575,,1.92,7.25,8.69,15.66,13.36,14.29,,71,3.9,10.46,5.99,21.88
CEIX,Consol Energy,,,,36,,1,0,,8/4/18,Basic Materials,Coal,12/29/20,,,,-53.84,-44.05,—,—,—,,,0,-0.95,-0.34,-2.02
LULU,Lululemon Athletica Inc.,,,,,,,,,,Consumer Cyclical,Apparel Stores,1/1/21,557,nan,—,50.23,64.22,46,26.11,—,,—,3.1,13.69,17.19,29.23
CENX,Century Aluminum,,,,,,1,0,,,Basic Materials,Aluminum,12/29/20,,,,39.46,-19.6,17.51,-4.1,-6.11,,,0,-5.61,-6.39,-14.44
CERN,Cerner,,,,69,,1,0,maybe,8/4/18,Technology,Health Information Services,12/27/20,793,,0.96,8.27,5.76,5.6,12.85,13.65,,739,3,14.28,11.09,17.98
CF,CF Industries Holdings,,,,69,3.7,1,0,maybe,9/8/19,Basic Materials,Agricultural Inputs,12/27/20,,,3.22,-20.71,-1.05,-0.2,5.47,19.88,,,2.6,7,2.3,9.82
CFG,Citizens Financial Group,,,,49,,1,0,,8/4/18,Financial Services,Banks - Regional - US,12/27/20,,,4.78,-9.45,-2.91,8.57,—,—,,,0,15.16,0.55,4.62
CG,Carlyle Grou,,,,,,,,,,,,12/27/20,,,3.52,3.88,15.57,18.69,—,—,,,0,-15.09,-1.27,-11.55
CGC,Canopy Growth Corporation,,,,,,,,,,Healthcare,Drug Manufacturers - Specialty & Generic,12/29/20,,,,28.47,0.66,63.69,—,—,,,0,-321.55,-20.74,-29.89
BMI,Badger Meter,,,,58,,1,0,yes,8/4/18,Technology,Scientific & Technical Instruments,12/27/20,,,0.85,44.31,26.17,26.31,16.21,16.53,,,0,11.53,11.2,14.37
VIR,Vir Biotech,,,,83,4.2,,,,,,,12/28/20,,,,127.24,—,—,—,—,,,0,-339.6,-37.6,-96.62
HCA,HCA Holdings,,,,60,,1,0,maybe,8/4/18,Healthcare,Medical Care,12/28/20,,,0.55,11.28,23.46,19.46,,,,,1.3,,,
CHK,Chesapeake Energy,,,,29,,1,0,,8/4/18,Energy,Oil & Gas E&P,12/27/20,,,,75,32.64,11.71,—,—,,,0,,,
CHKP,Check Point Software Technologies Ltd.,,,,,,,,,,Technology,Software - Application,12/29/20,848,,,23.07,9.89,10.76,11.62,13.57,,249,3.7,41.47,15.21,24.46
CHRW,Burlington Stores,,,,43,,1,0,,8/4/18,Industrials,Integrated Shipping & Logistics,12/27/20,,,2.17,24.71,4.28,10.39,3.37,7.65,,,2.8,2.96,9.43,25.81
CHS,CHS,,,,,,,,,,Consumer Cyclical,Apparel Stores,12/27/20,,,11.75,-61.65,-36.29,-23.22,-9.9,-14.35,,,0,-19.49,-19.07,-72.66
ECL,Ecolab,,,,60,,1,0,,8/4/18,Basic Materials,Specialty Chemicals,12/27/20,,,0.85,13.87,18.26,14.16,16.4,13.22,,,5.4,-7.52,-5.53,-14.75
TROW,T. Rowe Price,,,,60,,1,0,yes,8/4/18,Financial Services,Asset Management,12/28/20,,,2.41,23.48,14.35,17.37,10.38,11.16,,,2.9,34.93,21.26,29.72
CI,Cigna,,,,56,3.5,0,0,maybe,9/8/19,Healthcare,Health Care Plans,12/27/20,,,0.02,-2.52,-0.73,6.33,18.45,11.75,,,0.9,3.37,3.37,11.43
CINF,Cincinnati Financial,,,,68,,1,0,,8/4/18,Financial Services,Insurance - Property & Casualty,12/27/20,,,3.09,-15.14,7.53,10.09,12.68,6.31,,,0,11.34,3.1,8.3
CIOXY,Cielo SA,,,,52,,1,0,,8/4/18,Technology,Software - Infrastructure,12/27/20,,,1.59,-62.84,-42.47,-22.27,-2.59,—,,,0,4.01,0.52,4.83
CL,Colgate-Palmolive,,,,58,,0,0,,8/4/18,Consumer Defensive,Household & Personal Products,12/27/20,,,2.04,26.61,6.26,6.85,9.51,9.2,,,3.9,,,
CLDR,"Cloudera, Inc.",,,,,,,,no,,Technology,Software - Application,,,,,,,,,,,,,,,
CLF,Cliffs Natural Resources,,,,25,,0,0,,8/4/18,Basic Materials,Industrial Metals & Minerals,12/27/20,,,1.09,69.88,25.91,52.7,-13.3,-0.82,,,0,-3.38,-2.05,-20.98
CLR,Continental Resources,,,,76,,,0,,8/4/18,Energy,Oil & Gas E&P,12/27/20,,,0.65,-51.49,-31.32,-6.74,-5.49,—,,,0,-10.54,-2.04,-4.89
LAD,Lithia Motors,,,,51,3.5,,,maybe,9/8/19,Consumer Cyclical,Auto & Truck Dealerships,12/28/20,,,0.42,95.64,36.49,21.98,35.47,16.22,,,0.5,2.82,5.78,22.97
CM,Canadian Imperial Bank of Commerce,,,,,,,,,,,,12/27/20,,,5.15,9.45,1.06,9.66,4.72,5.13,,,0,19.65,0.52,10.03
CMA,Comerica,,,,29,,1,0,,8/4/18,Financial Services,Banks - Regional - US,12/27/20,,,5.51,-18.35,-10.39,9.01,4.93,1.84,,,0,17.34,0.66,7.04
CMCM,Cheetah Mobile Inc,,,,,,1,0,no,8/4/18,Technology,Software - Application,12/29/20,,,,-3.67,-31.07,-24.61,—,—,,,0,-15.04,-6,-8.87
CMCSA,Comcast,,,,58,,0,0,,8/4/18,Communication Services,Pay TV,12/27/20,,,1.79,15.16,9.01,13.5,17.53,13.12,,,1.4,9.9,3.93,12.56
CME,CME Group,,,,56,,1,0,,8/4/18,Financial Services,Financial Exchanges,12/27/20,,,1.89,-8.1,9.93,17.54,13.21,7.64,,,5.2,43.68,2.1,8
ABG,Asbury Automotive Group,,,,60,3.8,1,0,maybe,9/8/19,Consumer Cyclical,Auto & Truck Dealerships,1/1/21,209,nan,—,30.37,31.56,16.66,22.94,15.75,,—,0.4,3.08,6.58,29.59
CMI,Cummins,,,,58,,1,0,,8/4/18,Industrials,Diversified Industrials,12/27/20,1588,,2.29,27.96,11.12,22.8,8.94,17.75,,922,2.4,8.12,7.58,20.48
CMS,CMS Energy,,,,41,,1,0,,8/4/18,Utilities,Utilities - Regulated Electric,12/27/20,,,2.65,-4,9.84,12.65,13.9,11.16,,,2.8,11.44,2.76,14.87
CNC,Centene,,,,53,3.1,1,0,no,9/8/19,Healthcare,Health Care Plans,12/29/20,,,,-7.57,4.57,12.24,24.72,15.7,,,0.8,2,3.95,10.67
CNHI,CNH Industrial,,,,47,3.5,,,,9/8/19,Industrials,Farm & Construction Equipment,12/29/20,,,,15.65,-0.57,13.81,—,—,,,13,-2.15,-1.2,-10.03
MRNA,Moderna,,,,87,4,,,,,,,1/1/21,-598,nan,—,434.1,—,—,—,—,,729,0,-242.34,-19.16,-29.81
CNK,Cinemark Holdings,,,,42,,0,0,,8/4/18,Consumer Cyclical,Media - Diversified,12/27/20,,,4.53,-50.38,-18.42,-7.64,4.03,—,,,0,-25.23,-6.01,-27.89
CNP,CenterPoint Energy,,,,77,,1,0,,8/4/18,Utilities,Utilities - Regulated Gas,12/27/20,,,3.19,-16.59,-4.33,8.06,6.92,6.72,,,0,-8.02,-2.89,-15.5
CODI,Compass Diversified,,,,,,,,,,,,12/27/20,,,7.36,-13.12,12.2,10.77,6.97,—,,,0,3.46,2.36,6.16
UBER,Uber,,,,,,1,0,too early,,Technology,Software - Application,1/1/21,-6895,nan,—,71.49,—,—,—,—,,2330,0,-53.11,-22.54,-57.45
COF,Capital One Financial,,,,62,,1,0,,8/4/18,Financial Services,Credit Services,12/27/20,,,1.17,-4.52,0.33,7.33,9.89,1.57,,,0,3.4,0.24,1.63
COG,Cabot,,,,55,,1,0,,8/4/18,Energy,Oil & Gas E&P,12/27/20,,,2.28,-0.57,-13.37,0.55,7.18,7.96,,,3.9,14.7,4.88,9.98
COLM,Columbia Sportswear,,,,50,,0,0,,8/4/18,Consumer Cyclical,Apparel Manufacturing,12/27/20,,,0.61,-9.64,8.82,14.98,12.18,9.98,,,0,4.97,4.67,7.28
IR,Ingersoll-Rand PLC,,,,61,,1,0,,8/4/18,Industrials,Diversified Industrials,1/1/21,-159,nan,—,24.21,10.32,—,—,—,,—,2.3,-3.97,-1.58,-3.01
COP,ConocoPhillips,,,,32,,1,0,,8/4/18,Energy,Oil & Gas E&P,12/27/20,,,4.27,-36.32,-7.68,-1.2,1.07,2.34,,,0,-5.76,-1.81,-3.67
CORE,Core Mark Holding,,,,42,,1,0,,8/4/18,Consumer Defensive,Food Distribution,12/27/20,,,1.57,14.7,1.2,-5.31,13.71,9.83,,,0,0.36,2.92,9.98
WORK,Slack,,,,,,0,0,,,Technology,Software - Application,12/29/20,,,,92.32,—,—,—,—,,,0,-36.87,-17.59,-38.75
COTY,Coty,,,,27,,1,0,,8/4/18,Consumer Defensive,Household & Personal Products,12/27/20,,,3.48,-33.23,-25.31,-19,—,—,,,0,-19.52,-4.93,-22.59
CPB,Campbell Soup,,,,44,,0,0,,8/4/18,Consumer Defensive,Packaged Foods,12/27/20,1771,,2.8,1.46,2.65,0.78,5.9,5.32,,91,1.1,20.02,13.88,88.37
ABNB,Airbnb,,,,56,4.2,,,,,,,1/1/21,-1048,nan,—,—,—,—,—,—,,974,0,-28.92,-12.01,-326.38
CPT,Camden Property Trust,,,,,,1,0,,8/4/18,Real Estate,REIT - Residential,12/27/20,,,3.33,-3,6.01,9.2,9.44,6.17,,,0,18.1,2.71,5.35
BAH,Booz Allen Hamilton Holding,,,,62,,1,0,,8/4/18,Industrials,Business Services,12/27/20,,,1.43,24.52,32.63,24.09,18.48,—,,,0,6.6,10.45,56.82
BILI,Bilibili Inc,,,,,,,,maybe,,,,1/1/21,-2567,nan,—,360.37,—,—,—,—,,1274,0,-25.25,-12.77,-32.58
ZEN,Zendesk,,,,,,,,,,,,12/29/20,,,,79.87,60.17,39.31,—,—,,,2.8,-18.89,-10.49,-42.5
CSCO,Cisco Systems,,,,64,,0,0,,8/4/18,Technology,Communication Equipment,12/27/20,10462,,3.32,-3.79,7.81,12.99,10.44,7.75,,6293,2.9,21.76,11.16,28.83
CHDN,Churchill Downs Incorporated,,,,,,1,0,yes,8/4/18,Consumer Cyclical,Gambling,12/27/20,,,0.32,55.51,40.24,34.85,30.69,20.63,,,0,-8.99,-3.26,-20.59
HDB,HDFC Bank,,,,64,,1,0,yes,8/4/18,Financial Services,Banks - Regional - Asia,1/1/21,282856,nan,—,14.03,12.8,18.98,16.07,19.58,,—,0,33.91,1.88,15.75
KLAC,KLA-Tencor,,,,64,,1,0,maybe,8/4/18,Technology,Semiconductor Equipment & Materials,12/28/20,1291,,1.39,47.43,34.92,31.46,22.36,12.54,,872,2.6,21.76,13.92,47.73
ZG,"Zillow Group, Inc.",,,,78,4.2,,,maybe,,Real Estate,Real Estate Services,1/1/21,-309,nan,—,197.2,49.43,39.17,—,—,,516,0,-8.85,-4.79,-7.98
CTL,CenturyLink,,,,30,,1,0,,8/4/18,Communication Services,Telecom Services,12/27/20,,,,-22.22,31.13,15.51,-3.53,-8.84,,,0,-28.73,-13.11,-17.42
CTRE,CareTrust REIT,,,,,,1,0,no,8/4/18,Real Estate,REIT - Healthcare Facilities,12/27/20,,,5.02,13.79,13.41,19.15,—,—,,,0,46.03,5.38,8.7
CTRP,"Ctrip.com International, Ltd.",,,,,,,,,,Consumer Cyclical,Leisure,12/27/20,,,,-14.56,-10.92,—,—,—,,,3.6,-9.17,-1.52,-3.12
CTSH,Cognizant Technology Solutions,,,,59,,1,0,,8/4/18,Technology,Information Technology Services,12/27/20,,,1.13,31.33,5.23,6.7,8.72,13.18,,,2.7,8.78,8.5,13.47
CTXS,Citrix Systems,,,,43,,1,0,,8/4/18,Technology,Software - Infrastructure,12/27/20,599,,1.13,21.05,15.59,15.36,8.53,11.79,,534,1.9,18.52,13.88,153.37
CVE,Cenovus Energy Inc.,,,,,,,,,,Energy,Oil & Gas Integrated,12/27/20,,,1.85,-40.61,-10.67,-12.77,-10.41,—,,,0,-13.92,-6.16,-11.66
CVGI,Commercial Vehicle Group,,,,,,,,,,,,12/29/20,,,,47.06,-5.35,26.73,-5.7,-4.54,,,0,-5.85,-9,-34.41
CVS,CVS Health,,,,34,,0,0,,8/4/18,Healthcare,Health Care Plans,12/27/20,,,2.95,-6.09,0.25,-4.71,9.01,7.78,,,1.2,2.99,3.51,12.1
CVX,Chevron,,,,51,,1,0,,8/4/18,Energy,Oil & Gas Integrated,12/27/20,,,5.92,-24.8,-7.25,3.31,3.45,6.14,,,0.8,-11.02,-4.79,-7.99
CW,Curtiss-Wright,,,,68,,1,0,,8/4/18,Industrials,Diversified Industrials,12/27/20,237,,0.59,-20.57,-2.14,11,13.49,10.05,,72,0,9.96,6.36,13.53
CWT,California Water Service Group,,,,47,,1,0,,8/4/18,Utilities,Utilities - Regulated Water,12/27/20,,,1.72,6.25,8.11,19.02,12.43,8.1,,,0,11.85,2.84,11.25
TJX,TJX,,,,65,,1,0,,8/4/18,Consumer Cyclical,Apparel Stores,12/28/20,,,0.72,11.31,21.77,14.56,20.42,18.39,,,3.3,2.24,2.68,13.5
CYH,Community Health Systems,,,,,,,,,,Healthcare,Medical Care,1/1/21,-173,nan,—,156.21,20.37,-16.5,-11.5,-7.98,,—,0,nan,nan,nan
CCI,Crown Castle International,,,,65,,1,0,,8/4/18,Real Estate,REIT - Diversified,12/27/20,,,2.86,13.49,15.62,15.05,15.56,13.42,,,3,11.62,1.74,6.44
CYRX,Cryoport,,,,,,,,,,,,12/29/20,,,,170.3,70.06,85.17,21.26,-15.99,,,0,-55.87,-11.41,-19.2
DOCU,DocuSign,,,,93,4.7,0,0,,,Technology,Software - Application,12/29/20,,,,208.11,—,—,—,—,,,3.8,-16.83,-11.38,-43.85
D,Dominion Energy,,,,71,,1,0,,8/4/18,Utilities,Utilities - Diversified,12/27/20,,,4.76,-4.52,1.73,5.96,9.02,7.08,,,27.2,-0.78,-0.13,-0.51
DAL,Delta Air Lines,,,,79,4.1,0,0,maybe,9/8/19,Industrials,Airlines,12/27/20,,,2,-32.43,-8.48,-3.1,14.04,—,,,38.7,-42.88,-14.8,-114.32
DAN,Dana,,,,,,,,,,Consumer Cyclical,Auto Parts,12/27/20,,,1.19,7.07,-14.07,7.86,2.28,—,,,0,0.2,0.19,0.8
XLNX,Xilinx,,,,65,,1,0,maybe,8/4/18,Technology,Semiconductors,12/29/20,612,,1.04,45.33,28.67,25.47,18.12,12.85,,856,4.3,20.58,11.55,23.77
SHW,Sherwin-Williams,,,,67,,1,0,,8/4/18,Basic Materials,Specialty Chemicals,12/28/20,,,0.72,27.21,21.84,23.24,24.69,20.83,,,3.6,10.41,8.98,45.49
DBX,Dropbox,,,,,,1,0,no,,Technology,Software - Infrastructure,,,,,,,,,,,,,,,
DCP,DCP Midstream,,,,,,,,,,Energy,Oil & Gas Midstream,12/27/20,,,12.07,-17.76,-9.59,5.68,2.68,5.85,,,6.3,-6.98,-3.34,-7.12
DD,DuPont de Nemours,,,,,,,,,,Basic Materials,Chemicals,12/27/20,,,1.89,10.93,-12.14,0.25,5.59,2.59,,,271.3,-14.73,-4.21,-7.6
PANW,"Palo Alto Networks, Inc.",,,,,,,,maybe,,Technology,Software - Application,1/1/21,-300,nan,—,53.68,34.85,15.07,—,—,,835,3,-8.36,-3.85,-26.47
DDS,Dillard‚Äö√Ñ√∂‚àö√ë‚àö¬•s,,,,31,,1,0,,8/4/18,Consumer Cyclical,Department Stores,12/27/20,,,,-19.69,-1.89,-2.55,5.46,6.72,,,0,-1.48,-2,-4.74
WDAY,Workday,,,,,,0,0,maybe,,Technology,Software - Application,1/1/21,-339,nan,—,45.7,33.05,24.63,—,—,,1704,3.2,-8.14,-4.84,-12.55
DELL,Dell Technologies Inc.,,,,,,,,no,,Technology,Computer Systems,,,,,,,,,,,,,,,
DEO,Diageo,,,,70,3.9,1,0,yes,9/8/19,Consumer Defensive,Beverages - Wineries & Distilleries,12/27/20,,,2.29,-2,5.84,9.94,9.85,8.63,,,1.2,11.99,4.36,18.62
BYND,Beyond Meat,,,,,,1,0,maybe,,Consumer Defensive,Packaged Foods,12/29/20,,,,67.16,—,—,—,—,,,4.1,-6.97,-5.98,-7.44
DFS,Discover Financial Services,,,,60,3.7,0,0,maybe,9/8/19,Financial Services,Credit Services,12/27/20,,,2.31,5.59,6.52,11.81,18.29,—,,,0.3,9.05,0.86,9.97
ROKU,"Roku, Inc.",,,,81,4,,,maybe,,Communication Services,Pay TV,1/1/21,-101,nan,—,147.96,85.78,—,—,—,,340,0,-6.53,-6.7,-11.97
DGX,Quest Diagnostics,,,,56,,0,0,,8/4/18,Healthcare,Diagnostics & Research,12/27/20,,,1.78,14.2,8.43,12.71,9.48,6.61,,,1.4,13.17,8.42,18.34
DHI,D.R. Horton,,,,64,,1,0,no,8/4/18,Consumer Cyclical,Residential Construction,12/27/20,,,0.94,36.42,13.2,18.29,20.27,5.17,,,1,11.69,13.75,21.72
DIS,Disney,,,,65,,0,0,maybe,8/4/18,Consumer Cyclical,Media - Diversified,12/27/20,,,0.59,19.57,17.7,11.24,17.25,14.58,,,2.8,-4.38,-1.45,-3.32
ACN,Accenture plc,,,,70,,1,0,yes,8/4/18,Technology,Information Technology Services,12/24/20,,514000,1.32,23.66,19.98,20.98,19.16,16.39,,,3.5,11.74,14.7,31.75
OLCLY,Oriental Land,,,,,,,,,,,,12/28/20,,,0.19,23.97,23.93,23.18,—,—,,,0,-3.98,-1.04,-1.35
DISCA,Discovery Communications,,,,44,,0,0,no,8/4/18,Consumer Cyclical,Media - Diversified,,,,,,,,,,,,,,,
DISCK,Discovery,,,,,,,,,,Consumer Cyclical,Media - Diversified,1/1/21,1424,nan,—,-14.1,7.35,0.76,3.62,—,,—,1,10.06,3.24,10.94
DISH,DISH Network,,,,32,,1,0,no,8/4/18,Communication Services,Pay TV,,,,,,,,,,,,,,,
DK,Delek US Holdings,,,,,,,,,,Energy,Oil & Gas Refining & Marketing,12/27/20,,,9.26,-52.43,-18.42,-4.72,12.2,—,,,0,-3.66,-4.24,-18.85
DKS,Dicks Sporting Goods,,,,44,,0,0,,8/4/18,Consumer Cyclical,Specialty Retail,12/27/20,,,2.13,19.74,25.64,10.25,5.6,9.36,,,1.9,4.2,5.15,19.86
DLPH,Delphi Technologies,,,,67,,1,0,no,8/4/18,Consumer Cyclical,Auto Parts,,,,,,,,,,,,,,,
ATVI,Activision Blizzard,,,,70,,0,0,maybe,8/4/18,Technology,Electronic Gaming & Multimedia,12/24/20,2213,9080,0.52,55.36,12.59,18.94,22.35,19.17,,1098,1.9,28.89,11.24,16.63
DLTR,Dollar Tree,,,,40,,0,0,,8/4/18,Consumer Defensive,Discount Stores,12/29/20,,,,16.25,-0.04,6.92,14.4,18.87,,,1.6,3.84,4.76,14.71
DNN,Denison Mines,,,,,,,,,,,,1/1/21,-15,nan,—,55.9,5.56,5.37,-15.34,-13.82,,—,0,-102.81,-4.98,-7.11
ALGN,AlignTech (Invisalign),2.1,-13%,"innovation, hiring, earnings",84,4.4,yes,0,yes,11/3/20,Healthcare,Medical Devices,1/1/21,1738,nan,—,91.51,33.98,52.01,39.22,34.21,,168,4,75.99,51.38,80.12
TSM,Taiwan Semiconductor Manufacturing Co,,,"dividends, innovation",57,3.7,0,0,maybe,11/3/20,Technology,Semiconductors,12/28/20,499838,,1.74,84.52,40.93,37.56,25.23,18.33,,105181,2,38.6,20.96,29.63
DOV,Dover,,,,60,,1,0,,8/4/18,Industrials,Diversified Industrials,12/27/20,,,1.61,9.31,13.45,19.21,11.39,10.27,,,2.1,10.02,7.58,21.37
NEE,NextEra Energy,,,,71,,1,0,,8/4/18,Utilities,Utilities - Regulated Electric,12/28/20,,,1.9,27.03,26.79,25.41,20.46,15.23,,,0,21.43,3.24,10.56
ZM,Zoom,,,,94,4.8,0,0,yes,,Communication Services,Telecom Services,1/1/21,427,nan,—,395.77,—,—,—,—,,132,1.5,21.74,20.08,37.44
DRAD,Digirad Corp,,,,,,,,,,,,12/29/20,,,,5.15,-44.91,-30.86,-5.23,-7.16,,,0,-6.96,-9.24,-40.15
